Order_Date,Region,Product,Category,Sales,Quantity,Price,Profit,Inventory,Delivery_Days
2026-01-03,North,A,Electronics,120000,120,1000,18000,500,3
2026-01-10,South,A,Electronics,115000,115,1000,17000,470,4
2026-02-02,North,A,Electronics,118000,118,1000,17500,450,4
2026-02-15,South,A,Electronics,108000,108,1000,15500,420,5
2026-03-01,North,A,Electronics,102000,102,1000,14500,380,5
2026-03-12,South,A,Electronics,98000,98,1000,14000,350,6
2026-04-03,North,A,Electronics,93000,93,1000,12500,300,7
2026-04-15,South,A,Electronics,91000,91,1000,12000,280,7
2026-05-02,North,A,Electronics,88000,88,1000,11000,240,8
2026-05-18,South,A,Electronics,86000,86,1000,10500,210,8
2026-06-04,North,A,Electronics,82000,82,1000,9800,180,9
2026-06-19,South,A,Electronics,79000,79,1000,9000,160,10
2026-01-05,North,B,Home,90000,180,500,16000,700,3
2026-02-05,North,B,Home,95000,190,500,18000,720,3
2026-03-05,North,B,Home,100000,200,500,19000,710,3
2026-04-05,North,B,Home,104000,208,500,20500,690,3
2026-05-05,North,B,Home,110000,220,500,22000,670,3
2026-06-05,North,B,Home,116000,232,500,24000,650,3
2026-01-07,West,C,Office,60000,100,600,9000,400,4
2026-02-07,West,C,Office,62000,103,600,9500,410,4
2026-03-07,West,C,Office,64000,107,600,9800,405,4
2026-04-07,West,C,Office,65000,108,600,10000,390,5
2026-05-07,West,C,Office,67000,112,600,10400,370,5
2026-06-07,West,C,Office,69000,115,600,10800,360,5
